
="",="[.]"

="4.FeatEd#6.FeatJob",="0.0501"
="",="[0.0710]"

="4.FeatEd#7.FeatJob",="-0.0636"
="",="[0.0738]"

="4.FeatEd#8.FeatJob",="0"
="",="[.]"

="4.FeatEd#9.FeatJob",="-0.00537"
="",="[0.0729]"

="4.FeatEd#10.FeatJob",="0"
="",="[.]"

="4.FeatEd#11.FeatJob",="0"
="",="[.]"

="5.FeatEd#1.FeatJob",="0"
="",="[.]"

="5.FeatEd#2.FeatJob",="-0.0154"
="",="[0.0778]"

="5.FeatEd#3.FeatJob",="-0.0781"
="",="[0.0732]"

="5.FeatEd#4.FeatJob",="0.0253"
="",="[0.0803]"

="5.FeatEd#5.FeatJob",="-0.0577"
="",="[0.0905]"

="5.FeatEd#6.FeatJob",="-0.0660"
="",="[0.0738]"

="5.FeatEd#7.FeatJob",="-0.0600"
="",="[0.0776]"

="5.FeatEd#8.FeatJob",="0.0376"
="",="[0.0858]"

="5.FeatEd#9.FeatJob",="-0.0744"
="",="[0.0753]"

="5.FeatEd#10.FeatJob",="0.0445"
="",="[0.0879]"

="5.FeatEd#11.FeatJob",="-0.0226"
="",="[0.0857]"

="6.FeatEd#1.FeatJob",="0"
="",="[.]"

="6.FeatEd#2.FeatJob",="0.124"
="",="[0.0741]"

="6.FeatEd#3.FeatJob",="0.122"
="",="[0.0762]"

="6.FeatEd#4.FeatJob",="0.100"
="",="[0.0737]"

="6.FeatEd#5.FeatJob",="0.0276"
="",="[0.0911]"

="6.FeatEd#6.FeatJob",="0.0629"
="",="[0.0741]"

="6.FeatEd#7.FeatJob",="0.0416"
="",="[0.0763]"

="6.FeatEd#8.FeatJob",="0.0696"
="",="[0.0891]"

="6.FeatEd#9.FeatJob",="0.0449"
="",="[0.0783]"

="6.FeatEd#10.FeatJob",="0.134"
="",="[0.0864]"

="6.FeatEd#11.FeatJob",="0.0645"
="",="[0.0830]"

="7.FeatEd#1.FeatJob",="0"
="",="[.]"

="7.FeatEd#2.FeatJob",="-0.0138"
="",="[0.0779]"

="7.FeatEd#3.FeatJob",="-0.0900"
="",="[0.0772]"

="7.FeatEd#4.FeatJob",="0.0653"
="",="[0.0768]"

="7.FeatEd#5.FeatJob",="0"
="",="[.]"

="7.FeatEd#6.FeatJob",="-0.0792"
="",="[0.0802]"

="7.FeatEd#7.FeatJob",="-0.0660"
="",="[0.0761]"

="7.FeatEd#8.FeatJob",="0"
="",="[.]"

="7.FeatEd#9.FeatJob",="-0.0654"
="",="[0.0745]"

="7.FeatEd#10.FeatJob",="0"
="",="[.]"

="7.FeatEd#11.FeatJob",="0"
="",="[.]"

="1.FeatLang",="0"
="",="[.]"

="2.FeatLang",="-0.0644"
="",="[0.0142]"

="3.FeatLang",="-0.130"
="",="[0.0142]"

="4.FeatLang",="-0.162"
="",="[0.0142]"

="1.FeatCountry",="0.0475"
="",="[0.0297]"

="2.FeatCountry",="0.0375"
="",="[0.0312]"

="3.FeatCountry",="0.00231"
="",="[0.0313]"

="4.FeatCountry",="0.0506"
="",="[0.0314]"

="5.FeatCountry",="0.0354"
="",="[0.0313]"

="6.FeatCountry",="0"
="",="[.]"

="7.FeatCountry",="-0.0337"
="",="[0.0368]"

="8.FeatCountry",="-0.0379"
="",="[0.0356]"

="9.FeatCountry",="-0.0706"
="",="[0.0355]"

="10.FeatCountry",="-0.117"
="",="[0.0339]"

="1.FeatReason",="0"
="",="[.]"

="2.FeatReason",="-0.0360"
="",="[0.0321]"

="3.FeatReason",="0.0555"
="",="[0.0385]"

="1.FeatCountry#1.FeatReason",="0"
="",="[.]"

="1.FeatCountry#2.FeatReason",="-0.0175"
="",="[0.0446]"

="1.FeatCountry#3.FeatReason",="0"
="",="[.]"

="2.FeatCountry#1.FeatReason",="0"
="",="[.]"

="2.FeatCountry#2.FeatReason",="-0.0196"
="",="[0.0438]"

="2.FeatCountry#3.FeatReason",="0"
="",="[.]"

="3.FeatCountry#1.FeatReason",="0"
="",="[.]"

="3.FeatCountry#2.FeatReason",="0.0370"
="",="[0.0464]"

="3.FeatCountry#3.FeatReason",="0"
="",="[.]"

="4.FeatCountry#1.FeatReason",="0"
="",="[.]"

="4.FeatCountry#2.FeatReason",="-0.0359"
="",="[0.0465]"

="4.FeatCountry#3.FeatReason",="0"
="",="[.]"

="5.FeatCountry#1.FeatReason",="0"
="",="[.]"

="5.FeatCountry#2.FeatReason",="-0.0332"
="",="[0.0467]"

="5.FeatCountry#3.FeatReason",="0"
="",="[.]"

="6.FeatCountry#1.FeatReason",="0"
="",="[.]"

="6.FeatCountry#2.FeatReason",="0"
="",="[.]"

="6.FeatCountry#3.FeatReason",="0"
="",="[.]"

="7.FeatCountry#1.FeatReason",="0"
="",="[.]"

="7.FeatCountry#2.FeatReason",="0.0463"
="",="[0.0488]"

="7.FeatCountry#3.FeatReason",="0.00112"
="",="[0.0553]"

="8.FeatCountry#1.FeatReason",="0"
="",="[.]"

="8.FeatCountry#2.FeatReason",="0.0240"
="",="[0.0509]"

="8.FeatCountry#3.FeatReason",="0.00953"
="",="[0.0529]"

="9.FeatCountry#1.FeatReason",="0"
="",="[.]"

="9.FeatCountry#2.FeatReason",="0.0746"
="",="[0.0487]"

="9.FeatCountry#3.FeatReason",="0.00413"
="",="[0.0532]"

="10.FeatCountry#1.FeatReason",="0"
="",="[.]"

="10.FeatCountry#2.FeatReason",="0.0218"
="",="[0.0486]"

="10.FeatCountry#3.FeatReason",="0"
="",="[.]"

="1.FeatExp",="0"
="",="[.]"

="2.FeatExp",="0.0637"
="",="[0.0137]"

="3.FeatExp",="0.100"
="",="[0.0139]"

="4.FeatExp",="0.123"
="",="[0.0136]"

="1.FeatPlans",="0.118"
="",="[0.0149]"

="2.FeatPlans",="0.0196"
="",="[0.0153]"

="3.FeatPlans",="0"
="",="[.]"

="4.FeatPlans",="-0.151"
="",="[0.0145]"

="1.FeatTrips",="0"
="",="[.]"

="2.FeatTrips",="0.0744"
="",="[0.0157]"

="3.FeatTrips",="0.0566"
="",="[0.0164]"

="4.FeatTrips",="0.0851"
="",="[0.0157]"

="5.FeatTrips",="-0.108"
="",="[0.0162]"

="_cons",="0.343"
="",="[0.0433]"

="N",="14018"

="Standard errors in brackets"
